date,platform,campaign_type,audience,region,spend,impressions,clicks,conversions,revenue
2025-01-21,Google Ads,Video,Retargeting,South,1038.64,19613,860,78,8955.92
2025-01-21,Google Ads,Social,Retargeting,South,734.33,14100,645,45,4841.41
2025-01-21,Meta Ads,Social,Prospecting,East,430.98,36943,661,36,4651.46
2025-01-22,Google Ads,Video,Retargeting,South,348.97,9308,300,18,1812.68
2025-01-22,Meta Ads,Social,Existing Customers,North,502.21,27834,604,33,4794.64
2025-01-22,YouTube Ads,Social,Lookalike,East,913.73,94735,1579,119,16004.45
2025-01-23,Google Ads,Social,Retargeting,West,871.21,31258,797,83,11423.37
2025-01-23,Google Ads,Search,Prospecting,North,178.78,6177,162,14,1704.91
2025-01-23,Google Ads,Social,Prospecting,North,420.06,8162,312,19,2018.62
2025-01-24,Google Ads,Search,Prospecting,South,1531.51,44433,1095,115,13451.02
2025-01-24,Meta Ads,Search,Prospecting,West,736.99,56108,1139,75,9138.09
2025-01-24,Meta Ads,Video,Prospecting,East,278.67,19028,431,15,1573.76
2025-01-24,LinkedIn Ads,Social,Existing Customers,East,3236.88,65418,1269,79,11859.15
2025-01-25,Meta Ads,Social,Retargeting,East,686.95,34832,747,47,5895.75
2025-01-25,Meta Ads,Social,Prospecting,South,898.65,50441,1039,96,9498.24
2025-01-25,LinkedIn Ads,Social,Prospecting,East,907.57,22047,462,24,3573.4
2025-01-26,Google Ads,Social,Prospecting,North,551.23,13571,500,44,5137.13
2025-01-26,Google Ads,Video,Lookalike,North,436.22,14124,440,30,2859.18
2025-01-26,Google Ads,Video,Prospecting,West,2779.9,71598,2523,139,13907.7
2025-01-27,LinkedIn Ads,Social,Lookalike,East,1343.68,22452,433,19,2693.82
2025-01-27,Meta Ads,Social,Lookalike,North,1194.33,69494,2083,81,11975.83
2025-01-27,Google Ads,Social,Prospecting,South,1018.07,28446,1147,83,11053.17
2025-01-28,Meta Ads,Social,Retargeting,North,364.64,21113,578,42,5827.4
2025-01-28,Google Ads,Social,Existing Customers,East,1605.96,42542,1334,170,25134.67
2025-01-28,Meta Ads,Display,Retargeting,West,404.66,25426,509,21,2625.51
2025-01-28,Meta Ads,Social,Prospecting,South,841.53,51690,1090,60,7255.37
2025-01-29,Meta Ads,Social,Existing Customers,South,241.16,12967,278,14,1885.73
2025-01-29,Google Ads,Social,Existing Customers,North,185.77,7331,214,34,4709.28
2025-01-29,Meta Ads,Social,Retargeting,South,860.89,35794,989,58,5895.77
2025-01-30,Meta Ads,Search,Retargeting,South,413.71,23419,604,69,8844.09
2025-01-30,Google Ads,Search,Prospecting,North,192.12,4498,149,18,2542.59
2025-01-30,Google Ads,Display,Lookalike,South,994.74,27211,1069,79,8791.54
2025-01-31,YouTube Ads,Social,Retargeting,West,2777.02,306390,4784,194,21216.14
2025-01-31,YouTube Ads,Search,Prospecting,West,1727.26,167964,2868,71,8774.03
2025-01-31,Meta Ads,Social,Lookalike,South,592.19,39602,684,48,4958.7
2025-01-31,Google Ads,Display,Existing Customers,West,704.04,23142,789,52,5127.25
2025-02-01,YouTube Ads,Search,Lookalike,North,1246.49,144098,2139,102,13837.21
2025-02-01,LinkedIn Ads,Display,Prospecting,West,1451.66,35753,720,26,2778.95
2025-02-01,LinkedIn Ads,Video,Prospecting,South,559.91,13375,215,6,691.99
2025-02-02,Meta Ads,Social,Existing Customers,East,715.72,62589,878,69,7751.4
2025-02-02,Google Ads,Display,Existing Customers,North,851.06,20897,602,25,3725.5
2025-02-02,Google Ads,Search,Retargeting,West,1003.35,27443,950,94,12253.57
2025-02-03,YouTube Ads,Video,Retargeting,South,642.0,62873,954,42,4648.0
2025-02-03,Meta Ads,Social,Retargeting,West,647.44,24271,723,53,4969.38
2025-02-03,Google Ads,Video,Retargeting,North,1716.38,49935,1941,98,10658.02
2025-02-04,Google Ads,Social,Prospecting,East,1536.51,34096,1211,102,12776.8
2025-02-04,Meta Ads,Search,Prospecting,North,954.7,51984,1137,56,6630.14
2025-02-04,Google Ads,Search,Prospecting,West,2139.87,45414,1939,213,24913.28
2025-02-04,YouTube Ads,Display,Lookalike,South,544.51,84443,1139,45,5346.48
2025-02-05,LinkedIn Ads,Social,Prospecting,East,2010.25,41023,720,26,3345.12
2025-02-05,LinkedIn Ads,Search,Prospecting,West,995.97,33997,503,29,3313.15
2025-02-05,Meta Ads,Display,Retargeting,East,5867.87,295265,8386,591,72752.24
2025-02-06,Meta Ads,Video,Prospecting,North,322.46,19102,451,28,2722.59
2025-02-06,Meta Ads,Social,Prospecting,North,447.2,28602,554,20,3219.39
2025-02-06,Meta Ads,Social,Retargeting,North,919.01,65471,1411,130,14285.77
2025-02-07,Google Ads,Search,Prospecting,West,906.22,22913,879,76,9018.52
2025-02-07,Meta Ads,Display,Retargeting,West,2486.6,161632,3399,224,28043.99
2025-02-07,Google Ads,Social,Existing Customers,South,453.34,10569,336,36,4183.71
2025-02-07,Meta Ads,Video,Prospecting,West,1260.52,62079,1214,37,4260.21
2025-02-08,Google Ads,Social,Existing Customers,North,1490.22,44326,1649,273,33883.65
2025-02-08,Google Ads,Social,Existing Customers,East,1106.66,27883,915,162,17241.84
2025-02-08,Google Ads,Search,Lookalike,South,374.82,12029,388,37,4547.1
2025-02-09,Meta Ads,Search,Retargeting,North,1747.82,119209,2062,232,19792.85
2025-02-09,Google Ads,Display,Retargeting,South,1556.42,44319,1573,183,26818.42
2025-02-09,YouTube Ads,Social,Retargeting,South,1033.61,136721,1985,80,10341.88
2025-02-10,Meta Ads,Social,Lookalike,South,799.44,58760,1220,49,6198.71
2025-02-10,Google Ads,Video,Prospecting,North,810.82,19683,714,39,3265.88
2025-02-10,Meta Ads,Video,Existing Customers,South,665.08,34842,877,51,5548.46
2025-02-10,Google Ads,Video,Retargeting,North,1061.66,21505,854,71,9940.58
2025-02-11,YouTube Ads,Search,Lookalike,West,714.31,74415,1233,47,8916.95
2025-02-11,Meta Ads,Social,Prospecting,South,403.24,32895,693,22,3003.1
2025-02-11,LinkedIn Ads,Video,Prospecting,North,354.07,8060,131,5,668.32
2025-02-12,Google Ads,Social,Retargeting,East,429.34,12998,377,36,4480.18
2025-02-12,Meta Ads,Search,Retargeting,West,808.73,47188,933,117,11670.17
2025-02-12,Meta Ads,Display,Retargeting,South,687.84,48465,1070,78,10367.22
2025-02-13,YouTube Ads,Social,Prospecting,West,805.17,137784,1794,72,6852.84
2025-02-13,Meta Ads,Social,Prospecting,East,969.33,60490,1354,73,6804.29
2025-02-13,Meta Ads,Video,Retargeting,East,465.6,28447,526,23,2117.76
2025-02-14,Google Ads,Social,Prospecting,South,1814.85,59256,1538,126,16702.94
2025-02-14,Google Ads,Social,Existing Customers,North,588.2,13017,528,75,9231.29
2025-02-14,Meta Ads,Social,Prospecting,South,528.14,41734,843,56,6541.66
2025-02-14,Meta Ads,Social,Prospecting,West,957.79,53057,1004,83,9521.99
2025-02-15,Google Ads,Search,Prospecting,West,212.16,7584,218,13,1231.58
2025-02-15,LinkedIn Ads,Display,Retargeting,West,418.73,10091,196,7,720.49
2025-02-15,YouTube Ads,Display,Retargeting,West,1324.48,108526,2085,69,7164.43
2025-02-16,Google Ads,Search,Retargeting,South,226.28,8141,265,35,3139.68
2025-02-16,Meta Ads,Social,Existing Customers,South,1447.37,77448,1639,108,12355.0
2025-02-16,Google Ads,Video,Prospecting,West,1869.3,34655,1471,79,7547.38
2025-02-17,Meta Ads,Search,Lookalike,East,550.56,41683,662,55,6896.9
2025-02-17,Google Ads,Social,Prospecting,South,846.2,13496,673,37,4695.21
2025-02-17,Meta Ads,Social,Prospecting,South,1448.79,60455,2065,75,6878.59
2025-02-17,LinkedIn Ads,Display,Retargeting,West,516.81,23058,255,8,877.29
2025-02-18,LinkedIn Ads,Search,Prospecting,North,1230.45,29627,524,19,2819.77
2025-02-18,Google Ads,Display,Retargeting,North,452.52,14959,460,33,3212.43
2025-02-18,YouTube Ads,Social,Lookalike,East,513.19,57265,819,23,2821.63
2025-02-19,Google Ads,Social,Lookalike,North,416.34,9796,318,17,1987.29
2025-02-19,Google Ads,Search,Retargeting,North,874.63,14812,600,65,8753.68
2025-02-19,Meta Ads,Social,Retargeting,West,1485.88,90219,1945,219,26349.73
2025-02-20,Meta Ads,Social,Prospecting,South,621.05,39844,744,45,4825.65
2025-02-20,LinkedIn Ads,Search,Prospecting,East,306.36,7679,134,9,1045.82
2025-02-20,LinkedIn Ads,Search,Prospecting,South,346.31,7900,156,12,1397.58
2025-02-21,Google Ads,Search,Lookalike,North,904.67,25775,729,68,7707.77
2025-02-21,YouTube Ads,Social,Existing Customers,North,2321.01,381684,4257,157,15473.37
2025-02-21,Google Ads,Search,Prospecting,West,904.16,15030,753,77,10577.92
2025-02-21,Meta Ads,Video,Retargeting,North,544.35,45720,896,58,7783.36
2025-02-22,Google Ads,Social,Lookalike,East,1151.82,33767,1153,94,9043.23
2025-02-22,YouTube Ads,Display,Lookalike,South,599.09,66817,933,26,2849.26
2025-02-22,Google Ads,Video,Retargeting,South,547.41,10691,413,29,3217.51
2025-02-23,Google Ads,Search,Retargeting,West,375.43,7933,382,58,5462.59
2025-02-23,Meta Ads,Display,Lookalike,East,1748.6,89350,2182,86,7000.2
2025-02-23,YouTube Ads,Video,Existing Customers,East,134.37,22080,252,7,778.15
2025-02-24,YouTube Ads,Social,Prospecting,South,1175.78,172938,2022,68,7383.76
2025-02-24,LinkedIn Ads,Social,Existing Customers,South,517.83,10267,172,14,1346.55
2025-02-24,YouTube Ads,Social,Prospecting,East,536.12,56811,812,19,2245.53
2025-02-24,YouTube Ads,Search,Lookalike,North,2102.93,290123,3192,91,12369.76
2025-02-25,Meta Ads,Social,Prospecting,North,440.05,17650,450,16,2082.53
2025-02-25,Google Ads,Video,Prospecting,East,449.9,15217,438,25,2817.99
2025-02-25,LinkedIn Ads,Video,Prospecting,East,643.12,13333,314,10,818.73
2025-02-26,Meta Ads,Search,Retargeting,North,916.06,46771,1428,157,20077.57
2025-02-26,Meta Ads,Display,Prospecting,West,525.25,36124,760,28,3293.78
2025-02-26,Google Ads,Social,Prospecting,East,251.66,8422,319,23,2820.68
2025-02-27,LinkedIn Ads,Video,Retargeting,North,398.77,11928,172,3,449.55
2025-02-27,Google Ads,Search,Retargeting,West,1609.93,38996,1527,196,19630.06
2025-02-27,YouTube Ads,Video,Lookalike,West,734.86,81526,1118,38,2403.63
2025-02-27,Google Ads,Display,Existing Customers,South,938.5,26790,771,54,5600.93
2025-02-28,Google Ads,Search,Lookalike,South,590.61,17006,565,41,5073.7
2025-02-28,LinkedIn Ads,Search,Prospecting,South,455.96,10452,173,7,808.39
2025-02-28,Google Ads,Display,Prospecting,East,2082.87,48864,1613,99,9218.74
2025-03-01,Google Ads,Search,Existing Customers,North,619.4,14666,609,97,9370.27
2025-03-01,Meta Ads,Social,Prospecting,South,524.73,41309,789,33,3584.36
2025-03-01,YouTube Ads,Video,Retargeting,North,1427.35,171378,3513,121,11201.01
2025-03-02,Google Ads,Social,Existing Customers,North,437.71,16429,453,56,7521.98
2025-03-02,Google Ads,Social,Existing Customers,South,475.57,9955,466,45,5229.08
2025-03-02,LinkedIn Ads,Social,Retargeting,East,704.68,19346,290,14,1451.97
2025-03-03,YouTube Ads,Search,Lookalike,West,700.12,93617,1404,72,7297.27
2025-03-03,Meta Ads,Video,Retargeting,North,828.67,62010,1249,72,8621.01
2025-03-03,Google Ads,Social,Lookalike,North,2726.2,87659,2884,189,21879.96
2025-03-03,Google Ads,Search,Prospecting,South,871.0,18229,737,53,6287.67
2025-03-04,Google Ads,Search,Prospecting,East,149.21,2639,121,6,709.45
2025-03-04,Google Ads,Video,Retargeting,West,865.39,16281,706,65,7390.53
2025-03-04,Meta Ads,Search,Prospecting,East,717.45,48597,994,58,5591.41
2025-03-05,Google Ads,Video,Lookalike,East,720.05,22139,801,54,5500.07
2025-03-05,Meta Ads,Display,Prospecting,North,821.35,65930,1260,35,3776.35
2025-03-05,Meta Ads,Display,Existing Customers,North,687.07,55369,1019,48,7888.67
2025-03-06,Meta Ads,Video,Lookalike,North,676.47,55983,1002,47,4263.88
2025-03-06,Google Ads,Display,Retargeting,East,1042.69,27698,896,76,8166.84
2025-03-06,LinkedIn Ads,Video,Lookalike,South,492.12,8658,163,9,1050.92
2025-03-06,LinkedIn Ads,Search,Prospecting,North,378.07,10816,138,8,876.32
2025-03-07,LinkedIn Ads,Display,Retargeting,East,4996.73,136579,2438,217,29149.93
2025-03-07,Google Ads,Social,Prospecting,West,439.56,7460,343,21,2298.39
2025-03-07,Google Ads,Social,Existing Customers,South,747.08,13681,586,74,8853.4
2025-03-08,YouTube Ads,Video,Lookalike,West,264.78,38443,519,12,1555.96
2025-03-08,Meta Ads,Video,Existing Customers,East,755.05,53481,915,30,4782.01
2025-03-08,Google Ads,Display,Existing Customers,East,381.64,8943,340,28,4243.73
2025-03-09,Meta Ads,Social,Existing Customers,West,525.04,63050,914,53,6441.8
2025-03-09,Meta Ads,Social,Prospecting,North,1380.74,66366,1783,113,12894.29
2025-03-09,YouTube Ads,Social,Existing Customers,West,951.35,109739,1584,55,6880.95
2025-03-10,Google Ads,Social,Retargeting,West,1012.87,18761,913,75,8823.45
2025-03-10,YouTube Ads,Social,Retargeting,West,221.36,34933,384,27,2693.19
2025-03-10,Google Ads,Search,Retargeting,East,2310.14,54590,2254,265,34942.55
2025-03-10,Meta Ads,Search,Prospecting,West,322.58,18791,406,18,2136.94
2025-03-11,Meta Ads,Display,Prospecting,West,1890.59,127561,2644,134,15301.81
2025-03-11,Google Ads,Social,Prospecting,West,1359.79,42082,1151,75,6908.95
2025-03-11,Google Ads,Video,Prospecting,West,1018.77,21483,837,57,6618.91
2025-03-12,Meta Ads,Social,Retargeting,West,401.55,27005,671,47,3803.34
2025-03-12,YouTube Ads,Search,Existing Customers,South,772.49,74308,1537,60,6773.56
2025-03-12,Meta Ads,Search,Retargeting,East,515.42,38670,1020,99,10381.56
2025-03-13,YouTube Ads,Search,Retargeting,South,713.34,83388,1124,65,7810.78
2025-03-13,LinkedIn Ads,Video,Retargeting,West,595.06,20034,301,12,1786.05
2025-03-13,Meta Ads,Search,Retargeting,West,186.04,14712,253,28,3508.24
2025-03-13,LinkedIn Ads,Social,Prospecting,West,1451.34,24290,570,26,3667.85
2025-03-14,Google Ads,Video,Lookalike,East,664.05,17222,524,31,3925.03
2025-03-14,Google Ads,Video,Prospecting,South,510.79,11798,539,32,4328.03
2025-03-14,LinkedIn Ads,Search,Lookalike,North,486.32,10362,205,14,2078.0
2025-03-15,LinkedIn Ads,Search,Lookalike,East,883.67,14763,282,14,1425.58
2025-03-15,Google Ads,Search,Retargeting,East,391.56,7820,259,37,3724.13
2025-03-15,Meta Ads,Search,Existing Customers,East,161.61,7749,192,20,2744.03
2025-03-16,Meta Ads,Search,Prospecting,East,912.07,54698,1200,75,8620.03
2025-03-16,YouTube Ads,Social,Existing Customers,West,980.93,141498,1986,97,12462.92
2025-03-16,Meta Ads,Video,Lookalike,North,614.81,30518,761,23,2542.05
2025-03-16,Meta Ads,Social,Lookalike,South,331.94,22064,473,41,4274.96
2025-03-17,Meta Ads,Social,Lookalike,East,741.66,49435,942,53,7641.21
2025-03-17,Meta Ads,Search,Lookalike,West,270.19,16933,415,26,2475.26
2025-03-17,Meta Ads,Display,Existing Customers,West,359.02,23588,513,37,5089.11
2025-03-18,YouTube Ads,Social,Retargeting,West,429.72,44078,722,39,4853.01
2025-03-18,Meta Ads,Video,Lookalike,West,1211.53,79806,1618,65,5627.55
2025-03-18,Google Ads,Video,Lookalike,West,553.01,15770,444,40,4001.84
2025-03-19,Google Ads,Social,Retargeting,East,523.2,10433,499,76,7833.44
2025-03-19,LinkedIn Ads,Search,Existing Customers,North,2493.97,54168,1288,84,11354.74
2025-03-19,LinkedIn Ads,Search,Prospecting,East,880.23,13410,283,9,975.54
2025-03-20,Google Ads,Social,Retargeting,East,872.56,15594,509,34,3857.62
2025-03-20,Google Ads,Video,Prospecting,North,550.47,13451,446,44,3905.54
2025-03-20,Meta Ads,Social,Prospecting,West,475.06,28885,815,27,4235.39
2025-03-20,Google Ads,Display,Lookalike,East,169.0,5055,166,20,2325.63
2025-03-21,LinkedIn Ads,Social,Prospecting,West,1313.91,31439,505,12,1487.78
2025-03-21,Google Ads,Search,Prospecting,North,936.81,13401,657,53,5579.24
2025-03-21,Google Ads,Social,Prospecting,West,623.05,18962,658,52,5369.14
2025-03-22,YouTube Ads,Display,Retargeting,South,640.27,54601,1126,35,5229.99
2025-03-22,Google Ads,Display,Lookalike,East,1129.55,34985,952,99,7969.4
2025-03-22,Google Ads,Social,Existing Customers,East,254.81,5023,193,19,2462.72
2025-03-23,Google Ads,Search,Prospecting,East,477.07,8620,438,42,3914.1
2025-03-23,Google Ads,Display,Retargeting,West,334.45,10629,374,33,3554.43
2025-03-23,Google Ads,Search,Retargeting,North,2214.01,52224,1743,309,31985.92
2025-03-23,Google Ads,Video,Retargeting,East,1236.77,31659,898,117,11378.53
2025-03-24,Google Ads,Search,Retargeting,West,167.22,3457,147,22,2544.03
2025-03-24,Google Ads,Search,Prospecting,North,261.68,6991,213,34,2338.37
2025-03-24,Meta Ads,Social,Retargeting,South,642.3,44480,962,77,8417.73
2025-03-25,Meta Ads,Social,Retargeting,South,514.91,46491,819,71,8049.61
2025-03-25,Meta Ads,Social,Retargeting,East,295.96,11987,349,36,3259.19
2025-03-25,Google Ads,Social,Retargeting,West,2477.92,46998,2025,199,28305.35
2025-03-26,Meta Ads,Video,Lookalike,West,857.68,50331,1101,54,5632.19
2025-03-26,YouTube Ads,Social,Lookalike,West,953.09,106022,1292,50,5536.26
2025-03-26,YouTube Ads,Social,Prospecting,South,446.42,46064,911,37,3860.58
2025-03-27,Google Ads,Social,Lookalike,East,1119.41,32439,1063,103,11693.78
2025-03-27,Google Ads,Search,Existing Customers,North,546.64,16140,463,51,7631.15
2025-03-27,Google Ads,Social,Prospecting,South,582.25,21737,554,38,6061.54
2025-03-27,Google Ads,Search,Retargeting,North,1041.31,25643,799,99,12713.73
2025-03-28,Meta Ads,Social,Prospecting,North,242.8,20494,347,16,2153.34
2025-03-28,Meta Ads,Search,Lookalike,West,1976.63,163626,3218,211,30783.99
2025-03-28,Google Ads,Video,Prospecting,West,788.11,16942,678,22,2628.55
2025-03-29,Meta Ads,Social,Lookalike,East,1609.52,105775,2175,131,18767.65
2025-03-29,Meta Ads,Video,Prospecting,North,347.95,17736,416,27,3490.11
2025-03-29,Google Ads,Social,Retargeting,North,384.15,10219,314,17,1999.06
2025-03-30,LinkedIn Ads,Search,Existing Customers,North,328.93,6973,127,8,1048.09
2025-03-30,Google Ads,Display,Prospecting,East,823.67,13749,680,34,2795.29
2025-03-30,YouTube Ads,Social,Existing Customers,North,730.68,92135,1298,81,10520.18
2025-03-30,Google Ads,Display,Existing Customers,South,517.61,13464,505,26,2448.93
2025-03-31,LinkedIn Ads,Social,Existing Customers,West,362.11,10604,144,7,648.23
2025-03-31,YouTube Ads,Social,Prospecting,West,307.29,28346,559,18,2132.49
2025-03-31,YouTube Ads,Video,Lookalike,West,678.28,64800,892,27,2563.56
2025-04-01,LinkedIn Ads,Social,Prospecting,South,517.21,8001,174,7,804.1
2025-04-01,LinkedIn Ads,Social,Prospecting,East,448.29,9599,169,10,1174.92
2025-04-01,Meta Ads,Display,Existing Customers,North,1913.5,101831,2501,123,15714.29
2025-04-02,LinkedIn Ads,Display,Lookalike,West,663.53,13786,280,10,987.26
2025-04-02,Google Ads,Video,Retargeting,North,1598.16,52693,1700,99,12986.45
2025-04-02,Meta Ads,Social,Prospecting,East,494.95,26589,712,22,2494.66
2025-04-02,Meta Ads,Social,Lookalike,East,820.72,58466,1122,56,6884.6
2025-04-03,YouTube Ads,Display,Lookalike,West,675.21,65026,1122,35,3271.24
2025-04-03,Meta Ads,Social,Retargeting,South,232.21,14580,299,15,1676.85
2025-04-03,Meta Ads,Display,Existing Customers,North,1771.36,90615,2123,122,17754.83
2025-04-04,Meta Ads,Social,Prospecting,West,641.13,49149,995,39,5166.06
2025-04-04,Google Ads,Search,Prospecting,East,1137.12,31232,1103,98,9863.58
2025-04-04,Google Ads,Display,Retargeting,South,429.35,10262,296,18,1893.24
2025-04-05,Meta Ads,Search,Existing Customers,South,628.87,33562,772,50,5249.0
2025-04-05,Meta Ads,Search,Prospecting,South,398.47,26561,589,51,5262.41
2025-04-05,Google Ads,Social,Prospecting,South,1563.18,43549,1383,130,11676.18
2025-04-06,Meta Ads,Display,Prospecting,South,857.05,55547,1210,70,7875.9
2025-04-06,Meta Ads,Video,Existing Customers,South,888.62,54488,1228,86,11739.71
2025-04-06,Google Ads,Search,Prospecting,South,1692.4,43544,1364,104,10490.38
2025-04-06,Meta Ads,Search,Retargeting,North,1484.31,63919,1374,177,20066.33
2025-04-07,Meta Ads,Video,Existing Customers,West,1151.19,84488,1551,48,5755.85
2025-04-07,Google Ads,Search,Prospecting,North,277.82,4065,217,18,2411.86
2025-04-07,YouTube Ads,Search,Retargeting,North,445.36,55426,1006,52,5407.55
2025-04-08,YouTube Ads,Search,Retargeting,North,364.51,43095,679,23,2406.86
2025-04-08,Meta Ads,Social,Lookalike,West,1123.25,47189,1282,72,7183.56
2025-04-08,Google Ads,Video,Prospecting,South,782.12,26030,638,52,4915.29
2025-04-09,Meta Ads,Display,Retargeting,South,283.51,57265,795,69,8592.25
2025-04-09,LinkedIn Ads,Display,Prospecting,South,619.18,13849,232,10,1125.68
2025-04-09,Meta Ads,Search,Lookalike,North,265.05,15787,271,16,1855.79
2025-04-09,LinkedIn Ads,Social,Lookalike,South,676.23,22493,388,23,3172.7
2025-04-10,Meta Ads,Social,Prospecting,North,238.67,11389,260,16,2223.64
2025-04-10,Meta Ads,Search,Prospecting,West,987.15,82267,2136,156,13317.37
2025-04-10,Google Ads,Search,Existing Customers,North,894.94,23496,670,79,10806.72
2025-04-11,LinkedIn Ads,Social,Prospecting,South,2419.33,52165,1009,38,4524.34
